sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns
1	1A_1	65091	3552164	54.572	73.935
2	1A_10	73259	2957959	40.377	55.156
3	1A_100	50744	1386891	27.331	33.302
4	1A_101	58476	2454566	41.976	53.054
5	1A_102	60040	2709114	45.122	57.601
6	1A_103	52694	2057003	39.037	47.596
7	1A_104	39718	934676	23.533	27.044
8	1A_105	61914	3224592	52.082	68.955
9	1A_106	55556	3062979	55.133	71.72
10	1A_107	46298	2876021	62.12	75.145
11	1A_108	57250	2992798	52.276	66.218
12	1A_109	55160	2908010	52.72	67.041
13	1A_11	56624	2842628	50.202	64.942
14	1A_116	23393	1499705	64.109	83.852
15	1A_117	36763	1673955	45.534	58.499
16	1A_118	70392	2028504	28.817	39.793
17	1A_119	46831	520038	11.105	14.695
18	1A_12	52993	2122230	40.047	51
19	1A_120	64512	2625654	40.7	55.546
20	1A_121	40471	1057282	26.124	32.393
21	1A_122	63190	1587720	25.126	34.212
22	1A_123	58916	1399516	23.754	30.562
23	1A_124	40635	1503909	37.01	47.196
24	1A_125	39786	1144028	28.755	35.979
25	1A_126	63541	1655678	26.057	34.96
26	1A_127	60500	1687390	27.891	36.291
27	1A_128	55793	1155536	20.711	26.139
28	1A_129	60289	2707216	44.904	57.989
29	1A_13	48805	1427030	29.239	36.619
30	1A_130	59775	1358939	22.734	29.04
31	1A_131	38044	1776943	46.708	56.823
32	1A_132	30791	824525	26.778	31.364
33	1A_133	53778	2425139	45.095	56.17
34	1A_134	44245	1176572	26.592	31.93
35	1A_135	45344	1905630	42.026	51.193
36	1A_136	40395	996530	24.67	29.37
37	1A_137	59328	2024697	34.127	43.434
38	1A_138	48190	1911875	39.674	48.504
39	1A_139	76401	3596677	47.076	66.819
40	1A_14	38042	1860578	48.909	61.056
41	1A_140	49548	2402471	48.488	60.662
42	1A_141	59741	2826830	47.318	61.138
43	1A_142	54721	2245320	41.032	52.268
44	1A_143	56928	2607066	45.796	58.392
45	1A_144	57797	2482944	42.96	55.034
46	1A_145	61377	2675835	43.597	56.553
47	1A_146	48371	1917309	39.638	49.077
49	1A_148	47671	1652415	34.663	42.086
50	1A_149	50876	2749221	54.038	67.294
51	1A_15	28755	984993	34.255	41.482
52	1A_150	51109	1648039	32.246	39.25
53	1A_151	64296	3293622	51.226	67.284
54	1A_152	63395	2257717	35.613	46.901
55	1A_153	69427	3303184	47.578	63.98
56	1A_154	57144	2373031	41.527	52.884
57	1A_155	65587	2085502	31.797	42.289
58	1A_156	48285	1426214	29.537	35.687
59	1A_157	40507	1651629	40.774	48.931
60	1A_158	52572	2104355	40.028	52.661
61	1A_159	48913	2073775	42.397	52.357
62	1A_16	24466	665463	27.2	32.962
63	1A_160	50061	1797436	35.905	44.251
64	1A_161	23426	1079189	46.068	54.957
65	1A_162	51681	1862811	36.044	44.931
66	1A_163	41309	1291505	31.264	37.255
67	1A_164	42631	1741041	40.84	49.569
68	1A_165	46588	2219715	47.646	58.819
69	1A_166	60853	1789582	29.408	37.925
70	1A_167	57000	1729337	30.339	40.627
71	1A_168	47310	1298636	27.45	33.066
72	1A_169	63635	2699418	42.42	55.679
73	1A_17	60170	2049847	34.068	43.524
74	1A_170	38754	1706722	44.04	53.132
75	1A_171	42258	1363967	32.277	38.71
76	1A_172	46814	2024631	43.248	52.907
77	1A_173	51721	3992299	77.189	99.092
78	1A_174	41507	1345781	32.423	38.399
79	1A_175	57458	2085386	36.294	45.638
80	1A_176	47855	2468006	51.573	63.698
81	1A_177	54573	2231640	40.893	50.697
82	1A_178	64810	3625780	55.945	74.414
83	1A_179	55948	2319491	41.458	52.533
84	1A_18	49100	1970683	40.136	50.818
85	1A_180	51721	2991737	57.844	73.011
86	1A_181	54992	1675568	30.469	38.259
