id	plant_weight	female_flowers_weight	male_flowers_weight	phenotyped_at
1A_1	4.1833	0.03037	0.02388	whole_plant
1A_2	4.5645	0.12413	0.00571	whole_plant
1A_3	4.5674	0.10736	0.05567	whole_plant
1A_4	4.9079	0.1099	0.164	whole_plant
1A_5	3.7558	0.3515	0.1071	whole_plant
1A_6	7.0353	0.0602	0.0429	half_plant
1A_7	4.0069	0.0466	0.04172	half_plant
1A_8	4.3119	0.0655	0.08131	half_plant
1A_9	5.5047	0.1631	0.03942	half_plant
1A_10	4.7956	0.0205	0.01726	half_plant
1A_11	6.5493	0.09833	0.2055	half_plant
1A_12	5.1256	0.02155	0.00726	half_plant
1A_13	6.8053	0.08593	0.06668	half_plant
1A_14	2.5356	0.01561	0.01751	half_plant
1A_15	3.0806	0.00411	0.01198	half_plant
1A_16	3.5147	0.0446	0.08105	half_plant
1A_17	3.3958	0.0742	0.01198	half_plant
1A_18	3.2658	0.0105	0.00238	half_plant
1A_20	2.5072	0.0179	0.00177	half_plant
1A_21	4.2831	0.0201	0.01654	half_plant
1A_22	5.0512	0.0009	0.01629	half_plant
1A_23	4.4816	0.1062	0.05393	half_plant
1A_26	5.9999	0.0745	0.0678	half_plant
1A_27	5.8043	0.01448	0.10635	half_plant
1A_28	5.0426	0.08163	0.02965	half_plant
1A_29	6.9754	0.10543	0.05507	half_plant
1A_30	5.6532	0.15748	0.05442	half_plant
1A_31	5.729	0.0322	0.05056	half_plant
1A_32	4.3817	0.03852	0.09219	half_plant
1A_33	4.0039	0.04578	0.03528	half_plant
1A_34	4.7014	0.01851	0.02601	half_plant
1A_35	7.2132	0.16144	0.04256	half_plant
1A_36	3.2626	0.06578	0.00241	half_plant
1A_37	6.9692	0.01848	0.02465	half_plant
1A_38	6.9638	0.13195	0.04118	half_plant
1A_39	5.8213	0.12075	0.14421	half_plant
1A_40	4.9255	0.02415	0.0257	half_plant
1A_41	5.0386	0.1433	0.06536	half_plant
1A_42	5.6704	0.1679	0.02628	half_plant
1A_43	5.9534	0.0127	0.07907	half_plant
1A_44	5.4232	0.0668	0.01994	half_plant
1A_45	5.8669	0.1219	0.06803	half_plant
1A_46	5.1866	0.1366	0.05548	whole_plant
1A_53	4.7256	0.2468	0.17329	whole_plant
1A_54	3.4819	0.432	0.06529	whole_plant
1A_55	3.755	0.0204	0.08453	half_plant
1A_56	4.4971	0.0088	0.00928	half_plant
1A_57	3.8433	0.0973	0.02705	half_plant
1A_58	3.5207	0.0054	0.0112	half_plant
1A_59	5.9894	0.208	0.02213	half_plant
1A_60	4.2228	0.0223	0.0091	half_plant
1A_61	2.4811	0.05999	0.01255	half_plant
1A_62	2.9893	0.16391	0.00293	half_plant
1A_63	7.2222	0.11235	0.16516	half_plant
1A_64	3.0609	0.01671	0.0003	half_plant
1A_65	4.3752	0.03481	0.00592	half_plant
1A_66	4.6614	0.18413	0.02354	half_plant
1A_67	4.0699	0.2692	0	half_plant
1A_68	4.3553	0.0262	0.04423	half_plant
1A_69	3.2592	0.05946	0.02326	half_plant
1A_71	5.2604	0.01535	0.02731	half_plant
1A_72	4.5878	0.09135	0.04859	half_plant
1A_73	3.9744	0.03091	0.01719	half_plant
1A_74	4.3797	0.08043	0.04707	half_plant
1A_75	3.5622	0.01857	0.10029	half_plant
1A_76	6.3084	0.08699	0.16392	half_plant
1A_77	5.0269	0.05501	0.06185	half_plant
1A_78	5.1072	0.09642	0.06172	half_plant
1A_79	2.3566	0.01914	0.03822	half_plant
1A_80	5.5725	0.13427	0.00537	half_plant
1A_81	5.6438	0.15399	0.08354	half_plant
1A_82	5.1973	0.23202	0.0387	half_plant
1A_83	4.0457	0.04663	0.05268	half_plant
1A_84	5.9185	0.30283	0.04889	half_plant
