id	plant_weight	female_flowers_count	male_flowers_weight
3A_11	30.0881	144	0.0004
3A_12	6.1464	190	0.0006
3A_13	8.0578	376	0.0133
3A_14	5.0584	199	0.0018
3A_15	5.9941	294	0.0004
3A_16	7.9461	433	0.0009
3A_17	5.3116	309	0.0022
3A_18	5.4675	294	0
3A_19	4.7145	141	0.0005
3A_20	2.7983	139	0
3A_21	5.4902	466	0.0031
3A_22	6.7856	302	0.0017
3A_23	3.7313	141	0.0003
3A_27	3.7848	110	0
3A_28	3.2029	96	0.151
3A_29	7.5423	240	0.0063
3A_30	11.8924	239	0.0177
3A_31	10.3037	189	0.0004
3A_32	4.5722	101	0.0036
3A_33	5.694	140	0.0004
3A_34	5.12	191	0.0013
3A_35	8.1862	206	0.0003
3A_36	1.05	11	0.0013
3A_37	6.063	278	0.128
3A_38	5.114	92	0.0005
3A_39	3.035	100	0.0006
3A_40	8.135	282	0.0006
3A_41	3.564	207	0.0008
3A_42	3.34	179	0.0006
3A_43	5.874	180	0.0022
3A_44	4.956	174	0.0002
3A_45	3.469	84	0.0004
3A_46	3.538	126	0.001
3A_47	7.0372	227	0.0007
3A_48	5.7605	132	0.0006
3A_49	5.5487	116	0.0027
3A_50	8.8	703	0.0026
3A_51	10.194	419	0.0003
3A_52	4.806	401	0.0022
3A_53	4.65	280	0.0023
3A_54	5.604	163	0
3A_55	7.477	264	0.0011
3A_56	5.812	222	0.0004
3A_57	5.651	312	0.0021
3A_58	5.51	214	0.001
3A_59	4.532	125	0.0014
3A_60	7.265	439	0.0031
3A_61	5.474	290	0.0027
3A_62	6.771	571	0.0019
3A_63	3.873	95	0
3A_64	6.435	247	0.0037
3A_65	4.016	152	0.0003
3A_66	7.987	277	0.0009
3A_67	6.9464	284	0.0012
3A_68	8.4326	263	0.0025
3A_69	5.4231	71	0.0026
3A_70	8.263	297	0
3A_71	5.14	136	0.0002
3A_72	2.686	49	0
3A_73	4.458	105	0.0011
3A_74	5.005	156	0.0003
3A_75	4.232	142	0.0005
3A_76	5.516	169	0.0005
3A_77	3.189	117	0.0003
3A_78	1.323	39	0.0005
3A_79	6.193	327	0.0021
3A_80	3.251	127	0.0003
3A_81	4.715	184	0.0003
3A_82	6.372	377	0.0008
3A_83	5.487	161	0.0012
3A_84	8.177	329	0.0012
3A_85	6.653	273	0.0031
3A_86	8.593	359	0.0033
3A_87	9.528	464	0.0077
3A_88	5.291	235	0.0002
3A_89	3.867	163	0.0015
3A_90	4.258	198	0.0013
3A_91	3.676	121	0.0007
3A_93	4.7882	159	0
3A_94	0.7675	29	0
3A_95	8.5855	310	0.0034
3A_96	9.8594	362	0.0012
3A_97	3.2949	159	0.0005
3A_98	6.7873	221	0.0003
3A_99	7.8261	270	0.0011
3A_100	5.6362	267	0.0008
3A_101	8.2697	372	0.0014
3A_102	5.958	149	0.0086
3A_103	5.0464	251	0.0021
3A_104	5.9988	193	0.0026
3A_105	12.54	929	0.0057
3A_107	5.978	216	0.0004
3A_108	10.016	542	0.0007
3A_109	7.657	322	0.0006
3A_111	7.706	284	0.0011
3A_112	2.953	86	0
3A_113	7.837	255	0.002
3A_114	7.908	341	0
3A_115	7.64	280	0.0008
3A_116	5.4391	215	0
3A_117	10.1415	444	0.004
3A_118	7.3699	413	0.0006
3A_119	8.0007	182	0.0026
3A_120	6.3484	304	0.003
3A_121	8.8717	233	0
3A_122	7.5485	457	0.0252
3A_124	5.6526	231	0.0006
3A_125	5.835	170	0.0005
3A_126	10.533	165	0.0015
3A_127	2.7	31	0
3A_128	6.795	95	0
3A_129	3.82	42	0
3A_130	6.058	52	0.0004
3A_131	6.98	125	0.0011
3A_132	8.39	170	0.0023
3A_133	8.252	178	0.0047
3A_134	3.071	63	0
3A_135	6.576	147	0.0013
3A_136	6.302	286	0.0031
3A_137	4.86	251	0
3A_138	7.725	89	0.1199
3A_139	6.0665	203	0
3A_140	8.4216	245	0
3A_141	3.6695	93	0.0007
3A_142	6.6341	129	0.0025
3A_143	6.5317	106	0.0028
3A_144	7.2064	245	0.014
3A_145	6.8006	135	0.0004
3A_146	4.4411	73	0.0001
3A_147	4.9261	77	0
3A_148	4.339	78	0.0001
3A_149	4.146	92	0.0006
3A_150	3.067	71	0.0001
3A_151	4.842	85	0.0013
3A_152	4.533	109	0.003
3A_154	6.613	109	0
3A_155	6.04	71	0.009
3A_156	4.318	54	0
3A_157	2.049	26	0
3A_158	6.72	136	0.0001
3A_159	3.947	96	0.0014
3A_160	6.85	103	0.0005
3A_161	4.67	70	0
3A_162	7.451	208	0
3A_163	4.952	151	0
3A_164	9.63	307	0.0005
3A_165	7.148	221	0.0004
3A_166	4.929	236	0.0003
3A_167	6.173	263	0.0009
3A_168	7.19	271	0.0011
3A_169	2.704	104	0.0006
3A_170	2.848	85	0.0007
3A_171	3.876	140	0.0018
3A_172	6.845	269	0.0015
3A_173	6.705	244	0.0006
3A_174	5.806	124	0.0008
3A_175	5.782	186	0.0005
3A_176	2.905	105	0.0002
3A_177	3.381	152	0.0003
3A_178	8.856	230	0.0005
3A_179	5.175	165	0.0004
3A_180	9.795	287	0.0053
3A_181	5.978	236	0.0016
3A_182	8.39	222	0
3A_183	8.315	305	0.0003
3A_184	5.131	162	0.002
3A_185	5.849	167	0.0007
3A_186	3.79	128	0.0073
3A_187	1.973	96	0.0006
3A_188	6.268	243	0.0006
3A_189	6.68	236	0.0007
3A_190	6.138	203	0.0015
3A_191	5.213	147	0.0018
3A_192	4.83	232	0.0067
3A_193	6.345	182	0.0006
3A_194	8.519	292	0.0011
3A_195	6.202	292	0.0013
3A_196	6.586	228	0.0006
3A_197	4.41	113	0.0004
3A_198	5.647	188	0.0035
3A_199	6.0547	183	0.0032
3A_200	8.4891	291	0.0013
3A_202	7.66	351	0.0021
3A_203	4.327	168	0
3A_204	5.364	230	0.0008
3A_205	3.494	146	0.01
3A_206	4.569	148	0
3A_207	3.19	134	0.0011
3A_208	4.43	84	0
3A_209	3.64	64	0
3A_210	7.39	145	0.0084
3A_211	3.73	71	0.0009
3A_212	3.149	38	0
3A_213	3.926	107	0.0023
3A_214	6.364	141	0.0022
3A_215	6.809	144	0.0002
3A_216	5.974	133	0.0024
3A_217	4.625	104	0.0008
3A_218	5.143	104	0.001
3A_219	3.576	88	0.0016
3A_220	5.93	139	0.0001
3A_221	3.61	19	0
3A_222	9.176	316	0
3A_223	8.876	103	0.0072
3A_224	7.92	88	0.0009
3A_225	6.795	92	0
3A_226	6.775	125	0.0014
3A_227	11.001	163	0
3A_228	8.025	94	0
3A_229	9.17	92	0.0036
3A_230	8.354	142	0.0007
3A_231	9.295	221	0.0015
3A_232	9.097	317	0.0011
3A_233	8.425	325	0.0033
3A_234	6.711	196	0.001
3A_235	6.395	206	0
3A_236	8.913	256	0
3A_237	5.438	172	0
3A_238	2.555	46	0.0006
3A_239	4.68	185	0.0006
3A_240	7.566	296	0.0134
3A_241	4.275	262	0.0012
3A_242	7.904	343	0.0011
3A_243	6.455	201	0.0006
3A_244	7.593	220	0.0003
3A_245	5.91	194	0.0004
3A_246	6.249	260	0.0009
3A_247	3.48	182	0.0004
3A_248	7.132	337	0.0008
3A_249	7.042	407	0
3A_250	7.331	227	0.0006
3A_251	3.165	88	0.0002
3A_252	5.513	205	0.0027
3A_253	4.391	162	0
3A_254	7.78	271	0.0008
3A_255	4.141	181	0.0009
3A_256	7.368	314	0.0005
3A_257	6.615	179	0.0004
3A_258	9.657	258	0.0018
3A_259	12.087	388	0.0004
3A_260	8.109	276	0.003
3A_261	5.785	245	0.0022
3A_263	6.427	280	0.0003
3A_264	4.429	169	0.0014
3A_265	6.061	215	0.0015
3A_266	7.894	246	0.0006
3A_267	5.959	236	0.0013
3A_268	7.02	247	0.0002
3A_269	5.502	259	0
3A_270	7.593	269	0
3A_271	3.157	91	0
3A_272	8.34	205	0.0024
3A_273	9.135	280	0.0088
3A_274	7.958	181	0.0006
3A_275	8.544	319	0.0017
3A_276	6.965	279	0.0025
3A_277	6.4	262	0.0019
3A_278	3.671	112	0
3A_279	5.928	277	0.0007
3A_280	9.823	309	0.0013
3A_281	3.309	150	0.0007
3A_282	3.896	77	0.0005
3A_283	4.333	168	0.0007
3A_284	7.464	345	0.0124
3A_285	5.633	122	0.0005
3A_286	11.352	270	0.0008
3A_287	5.347	243	0.0006
3A_288	7.532	304	0.0003
3A_289	6.155	260	0.0079
3A_290	6.29	275	0.0025
3A_291	3.595	128	0
3A_292	3.711	151	0.0008
3A_293	7.824	215	0
3A_294	5.741	222	0.0007
3A_295	1.834	29	0.0017
3A_296	4.438	117	0
3A_297	6.595	192	0.0014
3A_298	9.2	485	0.0142
3A_299	4.622	147	0.0007
3A_300	3.103	98	0.0002
3A_301	6.829	300	0.0025
3A_302	4.225	171	0.004
3A_303	3.885	56	0
3A_304	5.021	92	0
3A_305	10.344	527	0.0082
3A_306	4.89	134	0.0008
3A_307	3.157	139	0.0004
3A_308	4.966	206	0
3A_309	4.836	140	0
3A_310	6.381	201	0.0004
3A_311	5.057	323	0.006
3A_312	7.104	324	0.0008
3A_313	7.15	468	0.0011
3A_314	5.835	283	0.0025
3A_315	6.966	307	0.0025
3A_316	6.442	267	0.0009
3A_317	6.07	195	0.0068
3A_318	7.05	248	0.0017
3A_319	6.715	210	0.0027
3A_320	5.884	173	0.0042
3A_321	5.304	218	0.0008
3A_322	6.703	171	0.005
3A_323	7.638	227	0.0004
3A_324	9.29	361	0.0032
3A_325	5.507	237	0.0006
3A_326	7.134	310	0.0002
3A_327	3.337	81	0.0007
3A_328	11.678	357	0
3A_329	5.161	198	0.0006
3A_330	6.484	232	0.0015
3A_331	8.296	479	0.0235
3A_332	7.944	311	0.004
3A_333	5.65	274	0.0303
3A_334	6.298	316	0.0007
3A_335	6.707	333	0.0003
3A_336	8.097	375	0.001
3A_337	4.708	157	0.0005
3A_338	9.752	356	0.0007
3A_339	6.029	411	0.0036
3A_340	6.328	312	0.0007
3A_341	8.797	408	0.07
3A_342	7.054	227	0.0007
3A_343	11.275	570	0.0056
3A_344	7.429	228	0.0008
3A_345	7.05	321	0.0006
3A_346	6.01	223	0
3A_347	7.437	527	0.0059
3A_348	6.528	257	0.001
3A_349	10.019	381	0.013
3A_350	7.452	206	0.0014
3A_351	7.406	231	0.0022
3A_352	5.698	266	0
3A_353	3.482	102	0.0005
3A_354	10.731	222	0.0009
3A_355	3.24	148	0.0013
3A_356	5.172	383	0
3A_357	5.567	207	0.0016
3A_358	10.552	249	0.0005
3A_359	5.72	113	0
3A_360	8.37	343	0.0044
3A_361	4.913	137	0
3A_362	8.644	301	0.0015
3A_363	4.38	242	0.0024
3A_364	6.946	264	0.0054
3A_365	5.168	125	0.0005
3A_366	5.523	80	0.019
3A_367	6.106	110	0.0008
3A_368	8.104	122	0.001
3A_369	3.704	120	0
3A_370	5.08	196	0
3A_371	5.04	138	0.0005
3A_372	5.246	168	0.0012
3A_373	7.885	294	0.0013
3A_374	2.674	131	0.0006
3A_375	3.611	130	0.0005
3A_376	7.496	249	0.0015
3A_377	5.597	291	0
3A_378	9.213	312	0.0016
3A_379	6.143	168	0.0016
3A_380	7.092	252	0.0148
3A_381	8.044	390	0.0149
3A_382	4.263	230	0.0004
3A_383	5.628	216	0
3A_384	5.812	159	0
3A_385	9.727	261	0
3A_386	8.175	371	0
3A_387	8.37	154	0
3A_392	5.994	137	0
3A_393	4.729	74	0
3A_394	3.259	96	0.0009
3A_395	6.757	163	0
3A_396	6.583	170	0
3A_398	10.019	281	0.0017
