id	plant_weight	female_flowers_weight	male_flowers_weight
S1_1	4.2873	0.0907	0.0267
S1_2	4.1622	0.1454	0.0048
S1_3	4.2402	0.153	0.0049
S1_4	6.5106	0.2313	0.0058
S1_5	3.7785	0.1355	0.0008
S1_6	2.7787	0.0424	0.0017
S1_7	2.8126	0.0509	0.0095
S1_8	3.5094	0.0659	0.0498
S1_9	2.9434	0.0672	0.023
S1_10	2.0291	0.0214	0.0242
S1_11	1.9226	0	0.0318
S1_12	5.7264	0.1275	0.0564
S1_13	4.0607	0.1342	0.0006
S1_14	4.6398	0.1209	0.0098
S1_15	5.0108	0.0887	0.0236
S1_16	2.7046	0.086	0.0158
S1_17	6.2421	0.2684	0.0026
S1_18	3.4572	0.2153	0
S1_19	3.231	0.0243	0.0474
S1_20	6.2682	0.1463	0.0544
S1_21	4.9485	0.1494	0.0068
S1_24	4.1516	0.0436	0.0084
S1_25	3.8526	0.0307	0.0931
S1_26	5.3361	0.0803	0.0278
S1_27	4.1265	0.1064	0.0269
S1_28	2.9727	0.0855	0.0376
S1_29	4.1921	0.0282	0.0515
S1_30	3.0293	0.0303	0.0168
S1_31	4.6623	0.0603	0.0292
S1_32	3.7794	0.0002	0.0794
S1_33	7.3167	0.2815	0.0004
S1_34	5.7918	0.0827	0
S1_35	4.0274	0.1579	0.0029
S1_36	5.1697	0.2092	0.0679
S1_37	4.1524	0.1426	0.0183
S1_38	4.3712	0.0632	0.0009
S1_39	5.0876	0.1641	0.0015
S1_40	3.4478	0.0426	0.0029
S1_41	4.1274	0.0994	0.0093
S1_42	3.4532	0.1251	0.0001
S1_43	6.015	0.1082	0.038
S1_44	5.3632	0.0653	0.1454
S1_45	4.4992	0.1571	0.0032
S1_46	5.1637	0.023	0.1334
S1_47	3.5823	0.0955	0.0009
S1_48	3.6232	0.0169	0.0355
S1_49	2.6359	0.0074	0.006
S1_50	4.3303	0.1769	0.0009
S1_52	3.1888	0.0643	0.00737
S1_53	5.9282	0.247	0.03328
S1_54	5.4808	0.277	0.00076
S1_55	6.1668	0.2108	0.00187
S1_56	6.8003	0.1359	0.00133
S1_57	3.8631	0.2161	0.00096
S1_58	6.5249	0.1945	0.01986
S1_68	6.103	0.0572	0.02883
S1_70	4.5306	0.1281	0.0116
S1_71	3.7889	0.0866	0.0257
S1_72	5.5129	0.2471	0.0104
S1_73	5.4553	0.0576	0.0554
S1_74	4.6401	0.0879	0.0293
S1_75	5.4213	0.0056	0.0789
S1_76	3.9311	0.0492	0.05
S1_77	3.3663	0.0074	0.0394
S1_78	3.9915	0.1008	0.0131
S1_79	4.1781	0.2942	0.0005
S1_80	4.1715	0.0447	0.0264
S1_81	7.0634	0.0021	0.067
S1_82	4.0713	0.1061	0.0263
S1_83	2.9372	0.0612	0.0137
S1_84	4.7281	0.0523	0.0049
S1_85	1.9536	0.0324	0.0178
S1_86	5.007	0.0939	0.0146
S1_87	2.1622	0.0311	0.0231
S1_88	2.7059	0.0899	0.0019
S1_89	4.406	0.2045	0.0176
S1_90	5.9793	0.3041	0.0467
S1_91	4.7239	0.0167	0.0484
S1_92	5.2992	0.0945	0.083
S1_93	3.7366	0.2442	0.0034
S1_94	8.2106	0.2571	0.051
S1_95	3.5837	0.0858	0.0215
S1_96	3.3551	0.0506	0
S1_97	4.9621	0.013	0.0537
S1_98	2.9154	0.089	0.0026
S1_99	3.5562	0.0159	0.0261
S1_100	4.1899	0.0132	0.1198
S1_101	3.9114	0.0377	0.0121
S1_104	7.5643	0.5191	0
S1_105	4.7726	0.0751	0.0138
S1_106	4.1497	0.0111	0.0828
S1_107	3.8662	0.1236	0.0417
S1_108	7.3728	0.1632	0.0972
S1_109	5.2154	0.1414	0.0334
S1_110	7.4388	0.2945	0.0341
S1_111	5.9402	0.1863	0.0312
S1_112	3.9343	0.0874	0.0062
S1_113	5.8752	0.1906	0.0032
S1_114	5.0958	0.2035	0.0421
S1_115	7.8139	0.3193	0.0024
S1_116	5.4164	0.0761	0.0124
S1_117	5.0019	0.0284	0.0555
S1_118	2.4482	0.0052	0.0221
S1_120	4.454	0.258	0.0006
S1_121	6.6139	0.0265	0.0913
S1_122	4.8799	0.0751	0.0171
S1_123	3.2031	0.0814	0.014
S1_124	4.2766	0.0288	0.0224
S1_125	4.7647	0.1002	0.0142
S1_126	7.6983	0.1385	0.0405
S1_127	6.8072	0.2459	0.0633
S1_128	4.8739	0.0542	0.0061
S1_129	6.7736	0.3288	0.001
S1_130	4.2174	0.0239	0.0367
S1_131	3.7208	0.3458	0
S1_132	3.8268	0.1109	0.01138
S1_133	4.8282	0.1496	0.0216
S1_134	3.8851	0.0614	0.0174
S1_135	6.1736	0.017	0.0032
S1_136	5.8892	0.2304	0.0003
S1_137	3.7114	0.1146	0.0066
S1_138	4.2689	0.0119	0.0814
S1_139	5.5656	0.3347	0
S1_140	5.091	0.1425	0.0153
S1_141	4.9876	0.0495	0.0509
S1_142	5.7216	0.0745	0.0157
S1_143	3.339	0.1687	0.014
S1_144	3.7107	0.0893	0.006
S1_145	2.9279	0.0256	0.0092
S1_146	4.447	0.0996	0.0153
